,website,present,total,ratio
0,http://lsa.umich.edu/daas,9,11,0.8181818181818182
1,http://www.lsa.umich.edu/rc,9,10,0.9
2,http://www.lsa.umich.edu/asian,10,10,1.0
3,http://www.lsa.umich.edu/astro,4,5,0.8
4,http://www.lsa.umich.edu/chem,13,14,0.9285714285714286
5,http://www.lsa.umich.edu/biology,14,14,1.0
6,http://www.lsa.umich.edu/chem,13,14,0.9285714285714286
7,http://www.lsa.umich.edu/biophysics,9,9,1.0
8,http://lsa.umich.edu/psych/,5,5,1.0
9,http://lsa.umich.edu/mcdb/,5,6,0.8333333333333334
10,http://www.lsa.umich.edu/classics,13,13,1.0
11,http://www.lsa.umich.edu/weinberginstitute,5,5,1.0
12,http://www.lsa.umich.edu/comm,3,3,1.0
13,http://www.lsa.umich.edu/complit,9,11,0.8181818181818182
14,https://cse.engin.umich.edu/academics/undergraduate/computer-science-lsa/,12,12,1.0
15,http://www.lsa.umich.edu/earth,4,4,1.0
16,http://www.lsa.umich.edu/eeb/,6,6,1.0
17,http://www.lsa.umich.edu/econ,9,10,0.9
18,http://www.lsa.umich.edu/english,5,8,0.625
19,http://www.lsa.umich.edu/pite/,9,10,0.9
20,http://www.lsa.umich.edu/anthro,5,6,0.8333333333333334
21,https://lsa.umich.edu/ftvm,10,10,1.0
22,http://www.lsa.umich.edu/rll/,5,5,1.0
23,https://lsa.umich.edu/wgs,9,9,1.0
24,http://www.lsa.umich.edu/german/,6,6,1.0
25,http://www.lsa.umich.edu/history,5,5,1.0
26,http://www.lsa.umich.edu/histart,12,13,0.9230769230769231
27,http://lsa.umich.edu/stats,3,4,0.75
28,http://www.ii.umich.edu/pics,9,9,1.0
29,http://www.lsa.umich.edu/judaic,5,5,1.0
30,http://www.ii.umich.edu/lacs,6,6,1.0
31,http://www.lsa.umich.edu/ac,9,9,1.0
32,http://www.lsa.umich.edu/linguistics,5,5,1.0
33,http://www.lsa.umich.edu/math,5,5,1.0
34,http://www.lsa.umich.edu/middleeast,9,18,0.5
35,http://www.ii.umich.edu/cmenas/,6,6,1.0
36,http://www.lsa.umich.edu/mcdb,5,6,0.8333333333333334
37,https://sites.lsa.umich.edu/lsamusic/,0,0,1.0
38,http://lsa.umich.edu/neurosci,3,4,0.75
39,http://www.lsa.umich.edu/orgstudies,5,5,1.0
40,http://www.lsa.umich.edu/ppe,5,5,1.0
41,http://www.lsa.umich.edu/physics,5,6,0.8333333333333334
42,http://www.lsa.umich.edu/slavic,6,14,0.42857142857142855
43,https://lsa.umich.edu/polisci,5,6,0.8333333333333334
44,http://ii.umich.edu/crees,5,5,1.0
45,http://www.lsa.umich.edu/soc,5,5,1.0
