,website,present,total,ratio
0,slavic,6,14,0.4285714285714285
1,middleeast,9,18,0.5
2,english,5,8,0.625
3,neurosci,3,4,0.75
4,stats,3,4,0.75
5,astro,4,5,0.8
6,daas,9,11,0.8181818181818182
7,complit,9,11,0.8181818181818182
8,mcdb,5,6,0.8333333333333334
9,anthro,5,6,0.8333333333333334
10,mcdb,5,6,0.8333333333333334
11,physics,5,6,0.8333333333333334
12,polisci,5,6,0.8333333333333334
13,econ,9,10,0.9
14,pite,9,10,0.9
15,rc,9,10,0.9
16,histart,12,13,0.9230769230769232
17,chem,13,14,0.9285714285714286
18,chem,13,14,0.9285714285714286
19,lsamusic,0,0,1.0
20,comm,3,3,1.0
21,earth,4,4,1.0
22,crees,5,5,1.0
23,psych,5,5,1.0
24,history,5,5,1.0
25,judaic,5,5,1.0
26,linguistics,5,5,1.0
27,math,5,5,1.0
28,orgstudies,5,5,1.0
29,ppe,5,5,1.0
30,rll,5,5,1.0
31,soc,5,5,1.0
32,weinberginstitute,5,5,1.0
33,cmenas,6,6,1.0
34,lacs,6,6,1.0
35,eeb,6,6,1.0
36,german,6,6,1.0
37,pics,9,9,1.0
38,ac,9,9,1.0
39,biophysics,9,9,1.0
40,wgs,9,9,1.0
41,asian,10,10,1.0
42,ftvm,10,10,1.0
43,computer-science-lsa,12,12,1.0
44,classics,13,13,1.0
45,biology,14,14,1.0
