,website,low,medium,high,score
0,http://lsa.umich.edu/daas,47,5,10,40
1,http://www.lsa.umich.edu/rc,49,6,7,33
2,http://www.lsa.umich.edu/asian,46,5,6,28
3,http://www.lsa.umich.edu/astro,39,6,7,33
4,http://www.lsa.umich.edu/chem,56,15,9,57
5,http://www.lsa.umich.edu/biology,58,13,10,56
6,http://www.lsa.umich.edu/chem,56,15,9,57
7,http://www.lsa.umich.edu/biophysics,47,4,7,29
8,http://lsa.umich.edu/psych/,40,6,6,30
9,http://lsa.umich.edu/mcdb/,41,6,8,36
10,http://www.lsa.umich.edu/classics,56,7,6,32
11,http://www.lsa.umich.edu/weinberginstitute,36,8,6,34
12,http://www.lsa.umich.edu/comm,36,4,7,29
13,http://www.lsa.umich.edu/complit,50,6,8,36
14,https://cse.engin.umich.edu/academics/undergraduate/computer-science-lsa/,75,9,8,42
15,http://www.lsa.umich.edu/earth,38,5,9,37
16,http://www.lsa.umich.edu/eeb/,42,7,6,32
17,http://www.lsa.umich.edu/econ,49,6,8,36
18,http://www.lsa.umich.edu/english,43,7,10,44
19,http://www.lsa.umich.edu/pite/,48,6,9,39
20,http://www.lsa.umich.edu/anthro,38,7,7,35
21,https://lsa.umich.edu/ftvm,50,4,7,29
22,http://www.lsa.umich.edu/rll/,36,5,6,28
23,https://lsa.umich.edu/wgs,45,5,7,31
24,http://www.lsa.umich.edu/german/,42,7,6,32
25,http://www.lsa.umich.edu/history,37,8,7,37
26,http://www.lsa.umich.edu/histart,54,4,7,29
27,http://lsa.umich.edu/stats,37,6,7,33
28,http://www.ii.umich.edu/pics,48,6,7,33
29,http://www.lsa.umich.edu/judaic,40,7,6,32
30,http://www.ii.umich.edu/lacs,42,6,6,30
31,http://www.lsa.umich.edu/ac,48,6,8,36
32,http://www.lsa.umich.edu/linguistics,40,8,6,34
33,http://www.lsa.umich.edu/math,40,7,6,32
34,http://www.lsa.umich.edu/middleeast,53,6,16,60
35,http://www.ii.umich.edu/cmenas/,42,6,6,30
36,http://www.lsa.umich.edu/mcdb,41,6,8,36
37,https://sites.lsa.umich.edu/lsamusic/,11,0,0,0
38,http://lsa.umich.edu/neurosci,37,5,6,28
39,http://www.lsa.umich.edu/orgstudies,39,5,8,34
40,http://www.lsa.umich.edu/ppe,36,5,6,28
41,http://www.lsa.umich.edu/physics,41,6,10,42
42,http://www.lsa.umich.edu/slavic,50,5,16,58
43,https://lsa.umich.edu/polisci,41,6,7,33
44,http://ii.umich.edu/crees,40,7,6,32
45,http://www.lsa.umich.edu/soc,40,5,6,28
