,website,low,medium,high,score
0,lsamusic,11,0,0,0
1,ppe,36,5,6,28
2,rll,36,5,6,28
3,neurosci,37,5,6,28
4,soc,40,5,6,28
5,asian,46,5,6,28
6,comm,36,4,7,29
7,biophysics,47,4,7,29
8,ftvm,50,4,7,29
9,histart,54,4,7,29
10,psych,40,6,6,30
11,cmenas,42,6,6,30
12,lacs,42,6,6,30
13,wgs,45,5,7,31
14,crees,40,7,6,32
15,judaic,40,7,6,32
16,math,40,7,6,32
17,eeb,42,7,6,32
18,german,42,7,6,32
19,classics,56,7,6,32
20,stats,37,6,7,33
21,astro,39,6,7,33
22,polisci,41,6,7,33
23,pics,48,6,7,33
24,rc,49,6,7,33
25,weinberginstitute,36,8,6,34
26,linguistics,40,8,6,34
27,orgstudies,39,5,8,34
28,anthro,38,7,7,35
29,mcdb,41,6,8,36
30,mcdb,41,6,8,36
31,ac,48,6,8,36
32,econ,49,6,8,36
33,complit,50,6,8,36
34,history,37,8,7,37
35,earth,38,5,9,37
36,pite,48,6,9,39
37,daas,47,5,10,40
38,computer-science-lsa,75,9,8,42
39,physics,41,6,10,42
40,english,43,7,10,44
41,biology,58,13,10,56
42,chem,56,15,9,57
43,chem,56,15,9,57
44,slavic,50,5,16,58
45,middleeast,53,6,16,60
